[ TIME ] [ JOB ID ]                [ EVENT TYPE ]
  13000      J45                      RELEASED
  13000      J55                      RELEASED
  13000      J65                      RELEASED
  13002      J119                      FINISHED
  13002      J25                       STARTED
  13052      J35                       STARTED
  13052      J25                      FINISHED
  13090      J120                      RELEASED
  13090      J120                       STARTED
  13112      J120                      FINISHED
  13124      J35                      FINISHED
  13124      J45                       STARTED
  13174      J45                      FINISHED
  13174      J55                       STARTED
  13200      J121                      RELEASED
  13200      J121                       STARTED
  13222      J121                      FINISHED
  13246      J55                      FINISHED
  13246      J65                       STARTED
  13296      J65                      FINISHED
  13310      J122                      RELEASED
  13310      J122                       STARTED
  13332      J122                      FINISHED
  13420      J123                      RELEASED
  13420      J123                       STARTED
  13442      J123                      FINISHED
  13500      J26                      RELEASED
  13500      J26                       STARTED
  13500      J36                      RELEASED
  13500      J46                      RELEASED
  13500      J56                      RELEASED
  13500      J66                      RELEASED
  13530      J124                      RELEASED
  13530      J124                       STARTED
  13552      J124                      FINISHED
  13572      J26                      FINISHED
  13572      J36                       STARTED
  13622      J36                      FINISHED
  13622      J46                       STARTED
  13640      J125                      RELEASED
  13640      J125                       STARTED
  13662      J125                      FINISHED
  13694      J46                      FINISHED
  13694      J56                       STARTED
  13744      J56                      FINISHED
  13744      J66                       STARTED
  13750      J126                      RELEASED
  13750      J126                       STARTED
  13772      J126                      FINISHED
  13816      J66                      FINISHED
  13860      J127                      RELEASED
  13860      J127                       STARTED
  13882      J127                      FINISHED
  13970      J128                      RELEASED
  13970      J128                       STARTED
  13992      J128                      FINISHED
  14000      J37                      RELEASED
  14000      J27                      RELEASED
  14000      J27                       STARTED
  14000      J47                      RELEASED
  14000      J57                      RELEASED
  14000      J67                      RELEASED
  14050      J37                       STARTED
  14050      J27                      FINISHED
  14080      J129                      RELEASED
  14080      J129                       STARTED
  14102      J129                      FINISHED
  14122      J37                      FINISHED
  14122      J47                       STARTED
  14172      J47                      FINISHED
  14172      J57                       STARTED
  14190      J130                      RELEASED
  14190      J130                       STARTED
  14212      J130                      FINISHED
  14244      J57                      FINISHED
  14244      J67                       STARTED
  14294      J67                      FINISHED
  14300      J131                      RELEASED
  14300      J131                       STARTED
  14322      J131                      FINISHED
  14410      J132                      RELEASED
  14410      J132                       STARTED
  14432      J132                      FINISHED
  14500      J28                      RELEASED
  14500      J28                       STARTED
  14500      J38                      RELEASED
  14500      J48                      RELEASED
  14500      J58                      RELEASED
  14500      J68                      RELEASED
  14520      J133                      RELEASED
  14520      J133                       STARTED
  14542      J133                      FINISHED
  14572      J28                      FINISHED
  14572      J38                       STARTED
  14622      J38                      FINISHED
  14622      J48                       STARTED
  14630      J134                      RELEASED
  14630      J134                       STARTED
  14652      J134                      FINISHED
  14694      J48                      FINISHED
  14694      J58                       STARTED
  14740      J135                      RELEASED
  14740      J135                       STARTED
  14762      J135                      FINISHED
  14766      J58                      FINISHED
  14766      J68                       STARTED
  14816      J68                      FINISHED
  14850      J136                      RELEASED
  14850      J136                       STARTED
  14872      J136                      FINISHED
  14960      J137                      RELEASED
  14960      J137                       STARTED
  14982      J137                      FINISHED
  15000      J39                      RELEASED
  15000      J29                      RELEASED
  15000      J29                       STARTED
  15000      J49                      RELEASED
  15000      J59                      RELEASED
  15000      J69                      RELEASED
  15050      J39                       STARTED
  15050      J29                      FINISHED
  15070      J138                      RELEASED
  15070      J138                       STARTED
  15092      J138                      FINISHED
  15122      J39                      FINISHED
  15122      J49                       STARTED
  15172      J49                      FINISHED
  15172      J59                       STARTED
  15180      J139                      RELEASED
  15180      J139                       STARTED
  15202      J139                      FINISHED
  15244      J59                      FINISHED
  15244      J69                       STARTED
  15290      J140                      RELEASED
  15290      J140                       STARTED
  15312      J140                      FINISHED
  15316      J69                      FINISHED
  15400      J141                      RELEASED
  15400      J141                       STARTED
  15422      J141                      FINISHED
  15500      J210                      RELEASED
  15500      J210                       STARTED
  15500      J310                      RELEASED
  15500      J510                      RELEASED
  15500      J410                      RELEASED
  15500      J610                      RELEASED
  15510      J142                      RELEASED
  15510      J142                       STARTED
  15532      J142                      FINISHED
  15572      J210                      FINISHED
  15572      J310                       STARTED
  15620      J143                      RELEASED
  15620      J143                       STARTED
  15642      J143                      FINISHED
  15644      J310                      FINISHED
  15644      J410                       STARTED
  15694      J510                       STARTED
  15694      J410                      FINISHED
  15730      J144                      RELEASED
  15730      J144                       STARTED
  15752      J144                      FINISHED
  15766      J510                      FINISHED
  15766      J610                       STARTED
  15816      J610                      FINISHED
  15840      J145                      RELEASED
  15840      J145                       STARTED
  15862      J145                      FINISHED
  15950      J146                      RELEASED
  15950      J146                       STARTED
  15972      J146                      FINISHED
  16000      J311                      RELEASED
  16000      J211                      RELEASED
  16000      J211                       STARTED
  16000      J411                      RELEASED
  16000      J511                      RELEASED
  16000      J611                      RELEASED
  16050      J311                       STARTED
  16050      J211                      FINISHED
  16060      J147                      RELEASED
  16060      J147                       STARTED
  16082      J147                      FINISHED
  16122      J311                      FINISHED
  16122      J411                       STARTED
  16170      J148                      RELEASED
  16170      J148                       STARTED
  16192      J148                      FINISHED
  16194      J411                      FINISHED
  16194      J511                       STARTED
  16244      J511                      FINISHED
  16244      J611                       STARTED
  16280      J149                      RELEASED
  16280      J149                       STARTED
  16302      J149                      FINISHED
  16316      J611                      FINISHED
  16390      J150                      RELEASED
  16390      J150                       STARTED
  16412      J150                      FINISHED
  16500      J11                      RELEASED
  16500      J11                       STARTED
