ECU0: LK, ECU1: CC
4000, ECU0: LK, 1
4000, ECU1: CC, 1
4010, ECU0: LK, 0
4010, ECU1: CC, 0
4020, ECU0: LK, 1
4020, ECU1: CC, 1
4030, ECU0: LK, 0
4030, ECU1: CC, 0
4040, ECU0: LK, 1
4040, ECU1: CC, 1
4050, ECU0: LK, 0
4050, ECU1: CC, 0
4060, ECU0: LK, 1
4060, ECU1: CC, 1
4070, ECU0: LK, 0
4070, ECU1: CC, 0
4080, ECU0: LK, 1
4080, ECU1: CC, 1
4090, ECU0: LK, 0
4090, ECU1: CC, 0
4100, ECU0: LK, 1
4100, ECU1: CC, 1
4110, ECU0: LK, 0
4110, ECU1: CC, 0
4120, ECU0: LK, 1
4120, ECU1: CC, 1
4130, ECU0: LK, 0
4130, ECU1: CC, 0
4140, ECU0: LK, 1
4140, ECU1: CC, 1
4150, ECU0: LK, 0
4150, ECU1: CC, 0
4160, ECU0: LK, 1
4160, ECU1: CC, 1
4170, ECU0: LK, 0
4170, ECU1: CC, 0
4180, ECU0: LK, 1
4180, ECU1: CC, 1
4190, ECU0: LK, 0
4190, ECU1: CC, 0
4200, ECU0: LK, 1
4200, ECU1: CC, 1
4210, ECU0: LK, 0
4210, ECU1: CC, 0
4220, ECU0: LK, 1
4220, ECU1: CC, 1
4230, ECU0: LK, 0
4230, ECU1: CC, 0
4240, ECU0: LK, 1
4240, ECU1: CC, 1
4250, ECU0: LK, 0
4250, ECU1: CC, 0
4260, ECU0: LK, 1
4260, ECU1: CC, 1
4270, ECU0: LK, 0
4270, ECU1: CC, 0
4280, ECU0: LK, 1
4280, ECU1: CC, 1
4290, ECU0: LK, 0
4290, ECU1: CC, 0
4300, ECU0: LK, 1
4300, ECU1: CC, 1
4310, ECU0: LK, 0
4310, ECU1: CC, 0
4320, ECU0: LK, 1
4320, ECU1: CC, 1
4330, ECU0: LK, 0
4330, ECU1: CC, 0
4340, ECU0: LK, 1
4340, ECU1: CC, 1
4350, ECU0: LK, 0
4350, ECU1: CC, 0
4360, ECU0: LK, 1
4360, ECU1: CC, 1
4370, ECU0: LK, 0
4370, ECU1: CC, 0
4380, ECU0: LK, 1
4380, ECU1: CC, 1
4390, ECU0: LK, 0
4390, ECU1: CC, 0
4400, ECU0: LK, 1
4400, ECU1: CC, 1
4410, ECU0: LK, 0
4410, ECU1: CC, 0
4420, ECU0: LK, 1
4420, ECU1: CC, 1
4430, ECU0: LK, 0
4430, ECU1: CC, 0
4440, ECU0: LK, 1
4440, ECU1: CC, 1
4450, ECU0: LK, 0
4450, ECU1: CC, 0
4460, ECU0: LK, 1
4460, ECU1: CC, 1
4470, ECU0: LK, 0
4470, ECU1: CC, 0
4480, ECU0: LK, 1
4480, ECU1: CC, 1
4490, ECU0: LK, 0
4490, ECU1: CC, 0
4500, ECU0: LK, 1
4500, ECU1: CC, 1
4510, ECU0: LK, 0
4510, ECU1: CC, 0
4520, ECU0: LK, 1
4520, ECU1: CC, 1
4530, ECU0: LK, 0
4530, ECU1: CC, 0
4540, ECU0: LK, 1
4540, ECU1: CC, 1
4550, ECU0: LK, 0
4550, ECU1: CC, 0
4560, ECU0: LK, 1
4560, ECU1: CC, 1
4570, ECU0: LK, 0
4570, ECU1: CC, 0
4580, ECU0: LK, 1
4580, ECU1: CC, 1
4590, ECU0: LK, 0
4590, ECU1: CC, 0
4600, ECU0: LK, 1
4600, ECU1: CC, 1
4610, ECU0: LK, 0
4610, ECU1: CC, 0
4620, ECU0: LK, 1
4620, ECU1: CC, 1
4630, ECU0: LK, 0
4630, ECU1: CC, 0
4640, ECU0: LK, 1
4640, ECU1: CC, 1
4650, ECU0: LK, 0
4650, ECU1: CC, 0
4660, ECU0: LK, 1
4660, ECU1: CC, 1
4670, ECU0: LK, 0
4670, ECU1: CC, 0
4680, ECU0: LK, 1
4680, ECU1: CC, 1
4690, ECU0: LK, 0
4690, ECU1: CC, 0
4700, ECU0: LK, 1
4700, ECU1: CC, 1
4710, ECU0: LK, 0
4710, ECU1: CC, 0
4720, ECU0: LK, 1
4720, ECU1: CC, 1
4730, ECU0: LK, 0
4730, ECU1: CC, 0
4740, ECU0: LK, 1
4740, ECU1: CC, 1
4750, ECU0: LK, 0
4750, ECU1: CC, 0
4760, ECU0: LK, 1
4760, ECU1: CC, 1
4770, ECU0: LK, 0
4770, ECU1: CC, 0
4780, ECU0: LK, 1
4780, ECU1: CC, 1
4790, ECU0: LK, 0
4790, ECU1: CC, 0
4800, ECU0: LK, 1
4800, ECU1: CC, 1
4810, ECU0: LK, 0
4810, ECU1: CC, 0
4820, ECU0: LK, 1
4820, ECU1: CC, 1
4830, ECU0: LK, 0
4830, ECU1: CC, 0
